runs	nb_step	PROINPA_MST.Satisfaction	PROINPA_MST.Influence	PROINPA_MST.Aim	SEEDS_PROD.Satisfaction	SEEDS_PROD.Influence	SEEDS_PROD.Aim	SEEDS_IMP.Satisfaction	SEEDS_IMP.Influence	SEEDS_IMP.Aim	POTAT_PROD.Satisfaction	POTAT_PROD.Influence	POTAT_PROD.Aim	STATE.Satisfaction	STATE.Influence	STATE.Aim	MAFIA_MARKET.Satisfaction	MAFIA_MARKET.Influence	MAFIA_MARKET.Aim	PREBASIC_S.State	CERTIFIED_S.State	IMPORTED_S.State	POTATOES.State	RECYCLED_S.State	SUPPORT_N.State	MANIPUL_M.State
0	13354.0	14.48	44.81	14.48	29.71	40.38	29.71	57.58	39.9	57.58	50.34	102.09	50.34	75.12	11.43	75.12	44.81	27.99	44.81	10.0	-0.3	10.0	5.2	0.7	-2.5	9.6
1	11316.0	6.39	44.81	6.39	21.44	48.19	21.44	56.57	39.18	56.57	50.14	95.3	50.14	73.73	-4.05	73.73	45.86	29.3	45.86	10.0	3.0	9.6	3.5	2.7	-5.5	10.0
2	14878.0	13.38	44.81	13.38	29.16	47.65	29.16	57.25	39.9	57.25	53.65	99.49	53.65	76.37	12.64	76.37	43.82	29.3	43.82	10.0	2.1	10.0	4.4	1.9	-2.3	10.0
3	32695.0	10.03	44.81	10.03	25.09	39.41	25.09	57.91	39.18	57.91	54.18	84.4	54.18	69.39	25.86	69.39	42.55	28.65	42.55	10.0	-0.5	9.7	3.5	6.0	-0.2	9.8
4	15020.0	3.94	44.81	3.94	19.94	48.16	19.94	57.01	39.9	57.01	50.99	89.94	50.99	71.61	-0.82	71.61	47.17	27.99	47.17	10.0	3.2	10.0	3.2	4.1	-4.8	9.6
5	16628.0	7.68	40.25	7.68	24.4	46.62	24.4	55.27	39.18	55.27	50.26	98.56	50.26	70.04	9.67	70.04	54.26	29.3	54.26	8.4	1.5	9.6	3.1	0.3	-2.8	10.0
6	15100.0	7.45	44.81	7.45	24.29	44.07	24.29	57.34	39.17	57.34	50.32	85.16	50.32	73.7	15.72	73.7	41.72	29.3	41.72	10.0	0.6	9.2	4.5	6.4	-1.8	10.0
7	21290.0	8.26	44.4	8.26	23.12	46.4	23.12	52.52	39.9	52.52	47.09	90.17	47.09	64.76	4.68	64.76	57.43	29.3	57.43	9.9	1.4	10.0	1.7	-0.3	-3.7	10.0
8	17453.0	9.33	43.17	9.33	26.36	42.57	26.36	54.58	38.99	54.58	46.5	98.99	46.5	73.04	6.29	73.04	51.76	29.3	51.76	9.5	0.2	8.4	4.1	1.9	-3.4	10.0
9	14092.0	5.39	44.81	5.39	21.17	48.19	21.17	56.05	39.9	56.05	51.5	90.19	51.5	70.53	4.68	70.53	49.55	29.3	49.55	10.0	2.9	10.0	2.7	3.2	-3.7	10.0
